	pathway_name	annotation	interaction_name_2	ligand	receptor
WNT16_FZD7_LRP6	WNT	Secreted Signaling	WNT16 - (FZD7+LRP6)	WNT16	FZD7,LRP6
WNT16_FZD8_LRP6	WNT	Secreted Signaling	WNT16 - (FZD8+LRP6)	WNT16	FZD8,LRP6
WNT2B_FZD1_LRP6	WNT	Secreted Signaling	WNT2B - (FZD1+LRP6)	WNT2B	FZD1,LRP6
WNT2B_FZD10_LRP6	WNT	Secreted Signaling	WNT2B - (FZD10+LRP6)	WNT2B	FZD10,LRP6
WNT2B_FZD2_LRP6	WNT	Secreted Signaling	WNT2B - (FZD2+LRP6)	WNT2B	FZD2,LRP6
WNT2B_FZD3_LRP6	WNT	Secreted Signaling	WNT2B - (FZD3+LRP6)	WNT2B	FZD3,LRP6
WNT2B_FZD4_LRP6	WNT	Secreted Signaling	WNT2B - (FZD4+LRP6)	WNT2B	FZD4,LRP6
WNT2B_FZD5_LRP6	WNT	Secreted Signaling	WNT2B - (FZD5+LRP6)	WNT2B	FZD5,LRP6
WNT2B_FZD6_LRP6	WNT	Secreted Signaling	WNT2B - (FZD6+LRP6)	WNT2B	FZD6,LRP6
WNT2B_FZD7_LRP6	WNT	Secreted Signaling	WNT2B - (FZD7+LRP6)	WNT2B	FZD7,LRP6
WNT2B_FZD8_LRP6	WNT	Secreted Signaling	WNT2B - (FZD8+LRP6)	WNT2B	FZD8,LRP6
WNT6_FZD1_LRP6	WNT	Secreted Signaling	WNT6 - (FZD1+LRP6)	WNT6	FZD1,LRP6
WNT6_FZD10_LRP6	WNT	Secreted Signaling	WNT6 - (FZD10+LRP6)	WNT6	FZD10,LRP6
WNT6_FZD2_LRP6	WNT	Secreted Signaling	WNT6 - (FZD2+LRP6)	WNT6	FZD2,LRP6
WNT6_FZD3_LRP6	WNT	Secreted Signaling	WNT6 - (FZD3+LRP6)	WNT6	FZD3,LRP6
WNT6_FZD4_LRP6	WNT	Secreted Signaling	WNT6 - (FZD4+LRP6)	WNT6	FZD4,LRP6
WNT6_FZD5_LRP6	WNT	Secreted Signaling	WNT6 - (FZD5+LRP6)	WNT6	FZD5,LRP6
WNT6_FZD6_LRP6	WNT	Secreted Signaling	WNT6 - (FZD6+LRP6)	WNT6	FZD6,LRP6
WNT6_FZD7_LRP6	WNT	Secreted Signaling	WNT6 - (FZD7+LRP6)	WNT6	FZD7,LRP6
WNT6_FZD8_LRP6	WNT	Secreted Signaling	WNT6 - (FZD8+LRP6)	WNT6	FZD8,LRP6
WNT5A_FZD1	ncWNT	Secreted Signaling	WNT5A - FZD1	WNT5A	FZD1
WNT5A_FZD10	ncWNT	Secreted Signaling	WNT5A - FZD10	WNT5A	FZD10
WNT5A_FZD2	ncWNT	Secreted Signaling	WNT5A - FZD2	WNT5A	FZD2
WNT5A_FZD3	ncWNT	Secreted Signaling	WNT5A - FZD3	WNT5A	FZD3
WNT5A_FZD4	ncWNT	Secreted Signaling	WNT5A - FZD4	WNT5A	FZD4
WNT5A_FZD5	ncWNT	Secreted Signaling	WNT5A - FZD5	WNT5A	FZD5
WNT5A_FZD6	ncWNT	Secreted Signaling	WNT5A - FZD6	WNT5A	FZD6
WNT5A_FZD7	ncWNT	Secreted Signaling	WNT5A - FZD7	WNT5A	FZD7
WNT5A_FZD8	ncWNT	Secreted Signaling	WNT5A - FZD8	WNT5A	FZD8
WNT5A_MCAM	ncWNT	Secreted Signaling	WNT5A - MCAM	WNT5A	MCAM
WNT5B_FZD1	ncWNT	Secreted Signaling	WNT5B - FZD1	WNT5B	FZD1
WNT5B_FZD10	ncWNT	Secreted Signaling	WNT5B - FZD10	WNT5B	FZD10
WNT5B_FZD2	ncWNT	Secreted Signaling	WNT5B - FZD2	WNT5B	FZD2
WNT5B_FZD3	ncWNT	Secreted Signaling	WNT5B - FZD3	WNT5B	FZD3
WNT5B_FZD4	ncWNT	Secreted Signaling	WNT5B - FZD4	WNT5B	FZD4
WNT5B_FZD5	ncWNT	Secreted Signaling	WNT5B - FZD5	WNT5B	FZD5
WNT5B_FZD6	ncWNT	Secreted Signaling	WNT5B - FZD6	WNT5B	FZD6
WNT5B_FZD7	ncWNT	Secreted Signaling	WNT5B - FZD7	WNT5B	FZD7
WNT5B_FZD8	ncWNT	Secreted Signaling	WNT5B - FZD8	WNT5B	FZD8
WNT11_FZD1	ncWNT	Secreted Signaling	WNT11 - FZD1	WNT11	FZD1
WNT11_FZD10	ncWNT	Secreted Signaling	WNT11 - FZD10	WNT11	FZD10
WNT11_FZD2	ncWNT	Secreted Signaling	WNT11 - FZD2	WNT11	FZD2
WNT11_FZD3	ncWNT	Secreted Signaling	WNT11 - FZD3	WNT11	FZD3
WNT11_FZD4	ncWNT	Secreted Signaling	WNT11 - FZD4	WNT11	FZD4
WNT11_FZD5	ncWNT	Secreted Signaling	WNT11 - FZD5	WNT11	FZD5
WNT11_FZD6	ncWNT	Secreted Signaling	WNT11 - FZD6	WNT11	FZD6
WNT11_FZD7	ncWNT	Secreted Signaling	WNT11 - FZD7	WNT11	FZD7
WNT11_FZD8	ncWNT	Secreted Signaling	WNT11 - FZD8	WNT11	FZD8
AREG_EGFR	EGF	Secreted Signaling	AREG - EGFR	AREG	EGFR
AREG_EGFR_ERBB2	EGF	Secreted Signaling	AREG - (EGFR+ERBB2)	AREG	EGFR,ERBB2
BTC_EGFR	EGF	Secreted Signaling	BTC - EGFR	BTC	EGFR
BTC_EGFR_ERBB2	EGF	Secreted Signaling	BTC - (EGFR+ERBB2)	BTC	EGFR,ERBB2
HBEGF_EGFR	EGF	Secreted Signaling	HBEGF - EGFR	HBEGF	EGFR
HBEGF_EGFR_ERBB2	EGF	Secreted Signaling	HBEGF - (EGFR+ERBB2)	HBEGF	EGFR,ERBB2
EREG_EGFR	EGF	Secreted Signaling	EREG - EGFR	EREG	EGFR
EREG_EGFR_ERBB2	EGF	Secreted Signaling	EREG - (EGFR+ERBB2)	EREG	EGFR,ERBB2
NRG1_ERBB3	NRG	Secreted Signaling	NRG1 - ERBB3	NRG1	ERBB3
NRG1_ERBB2_ERBB3	NRG	Secreted Signaling	NRG1 - (ERBB2+ERBB3)	NRG1	ERBB2,ERBB3
NRG2_ERBB3	NRG	Secreted Signaling	NRG2 - ERBB3	NRG2	ERBB3
NRG2_ERBB2_ERBB3	NRG	Secreted Signaling	NRG2 - (ERBB2+ERBB3)	NRG2	ERBB2,ERBB3
FGF2_FGFR1	FGF	Secreted Signaling	FGF2 - FGFR1	FGF2	FGFR1
FGF2_FGFR2	FGF	Secreted Signaling	FGF2 - FGFR2	FGF2	FGFR2
FGF2_FGFR3	FGF	Secreted Signaling	FGF2 - FGFR3	FGF2	FGFR3
FGF2_FGFR4	FGF	Secreted Signaling	FGF2 - FGFR4	FGF2	FGFR4
FGF7_FGFR1	FGF	Secreted Signaling	FGF7 - FGFR1	FGF7	FGFR1
FGF7_FGFR2	FGF	Secreted Signaling	FGF7 - FGFR2	FGF7	FGFR2
FGF9_FGFR1	FGF	Secreted Signaling	FGF9 - FGFR1	FGF9	FGFR1
FGF9_FGFR2	FGF	Secreted Signaling	FGF9 - FGFR2	FGF9	FGFR2
FGF9_FGFR3	FGF	Secreted Signaling	FGF9 - FGFR3	FGF9	FGFR3
