Endothelial	Epithelial	Fibroblasts	Immune	Myofibroblast_Mesothelium	Neural	Pericytes
EFNA5 / EPHA2	47.3479057333414	95.5023916682051	10.8983898894267	9.32829284733007	7.82624181260256	25.5755395244391	17.1534889765516
LAMB2 / CD44	4.66644593223237	3.96867722958413	12.4390454359431	92.7725486334701	22.1748855659816	22.27039597195	3.58309856468985
DLK1 / NOTCH1	100	15.5628062844858	18.2872195119884	13.0132098434516	15.7789195259097	42.4800180060962	51.0214109072791
EFNA5 / EPHA7	35.2955583575659	5.64868263942727	44.6243077551683	8.30759366197246	95.5023916682051	38.1061198313954	8.56369290671423
COL6A2 / CD44	4.64788914745189	3.95289522111728	12.3895798057008	92.4036254222021	22.0867039851907	22.1818345804694	3.5688498645275
EFNB3 / EPHB1	84.5345685406373	0	0	0	0	8.71072081550731	0
FGF2 / FGFR1	100	17.7181323979536	80.5030933193492	12.3640849334071	52.1747126219571	46.912744941458	44.8998555851697
FGF7 / FGFR1	100	17.7181323979536	80.5030933193492	12.3640849334071	52.1747126219571	46.912744941458	44.8998555851697
FN1 / ITGA8 + ITGB1	31.2307562246408	13.2562243449893	52.8105111540095	15.1580932957418	97.9229792173338	12.549167875767	54.7137586636044
TNC / ITGA8 + ITGB1	31.2307562246408	13.2562243449893	52.8105111540095	15.1580932957418	97.9229792173338	12.549167875767	54.7137586636044
COL6A2 / ITGA11 + ITGB1	30.5973115880393	20.7874031409533	44.9471409390433	0	90.484382918246	0	43.8220868820651
PYY / GPR83	0	0.529977827826165	8.40532393869043	0	2.57228276659758	83.4182838739178	0
LAMB2 / ITGA2 + ITGB1	92.7725486334701	30.8575669220264	12.9361646464089	0	14.6381958955024	32.3043094346545	11.4361369719489
ANGPTL2 / ITGA5 + ITGB1	100	11.5255592101039	35.743094878711	24.8955962654166	51.2035796054575	10.3514307782381	35.4285377085816
FN1 / ITGA5 + ITGB1	100	11.5255592101039	35.743094878711	24.8955962654166	51.2035796054575	10.3514307782381	35.4285377085816
EFNB3 / EPHB3	21.9819756994175	25.423759913705	84.5345685406373	4.72731011174763	82.3666746178272	36.3274722586811	54.6002283224875
NCAM1 / NCAM1	4.98007319146624	5.63081765291017	50.6818651116644	3.51861314072209	42.459883881615	81.333029016013	6.7133440863752
COL6A2 / SDC4	7.0922358931505	92.4036254222021	13.624869662132	29.3351589125608	18.6812457613585	6.89782118694088	8.6427143529005
COL6A2 / ITGA2 + ITGB1	92.4036254222021	30.7348574260766	12.8847221510464	0	14.5799850312275	32.1758467616982	11.3906595496043
PYY / NPY1R	0.776783892735642	4.98169024931861	9.99315931462964	0	4.15218334597043	1.57936673064039	83.4182838739178
NCAM1 / L1CAM	0	1.31909862596466	1.35160320754139	3.18683236408016	0.765125758189432	81.333029016013	1.59195834031589
WNT11 / FZD10	2.40902111933184	4.37242372907214	27.6069636348792	0	59.4021993909749	0	70.6731065217497
NCAM1 / NCAM2	0	1.04630425218726	8.19347235424052	0	1.43589322460389	81.333029016013	2.11792795767752
FN1 / SDC1	20.4144034661617	100	38.6415228093108	10.6864443655802	58.810315001277	38.0559428799654	26.1141767147334
TNC / SDC1	20.4144034661617	100	38.6415228093108	10.6864443655802	58.810315001277	38.0559428799654	26.1141767147334
THBS3 / SDC1	20.4144034661617	100	38.6415228093108	10.6864443655802	58.810315001277	38.0559428799654	26.1141767147334
MDK / PTPRZ1	0.722068480506203	0.501854661667599	6.83454293225473	0	0.582258653600293	80.0272898007005	0
EFNA5 / EPHA4	95.5023916682051	15.748024115118	29.2462076885925	10.0370363579664	48.5727855735682	24.8452206529314	17.6832377708703
LAMB2 / SV2A	23.2042396032144	14.4141857197101	22.2728639177978	0	35.3557709538171	92.7725486334701	31.0515575306663
COL6A1 / SDC1	19.863141899041	97.2996440085331	37.5980641329355	10.3978723248795	57.2222271365395	37.028296946297	25.4090009791948
COL6A3 / CD44	4.25676860389421	3.62025851691414	11.346994874278	84.6278469870288	20.2281046524546	20.3152299943906	3.26853063259078
FGF18 / FGFR4	6.54145349946985	63.3615580382641	45.4271118103715	7.65903886418214	70.285288304587	1.3362972248981	18.3186533572784
COL6A3 / ITGA11 + ITGB1	28.0225433954118	19.0381401620589	41.1648325324239	0	82.8701090171853	0	40.1344519369542
EFNB3 / EPHB2	39.9946986950476	84.5345685406373	58.5185255140418	38.9330681317989	70.8334721075902	20.8568096741954	1.54736813534664
COL6A1 / ITGA10 + ITGB1	97.2996440085331	25.6687239228301	42.3209748905373	32.2613706754949	64.5753394978408	37.222808318843	88.1915914561411
LAMA4 / ITGA6 + ITGB4	80.1036270566579	31.1708389735842	5.04831126679055	0	6.63142393454825	12.944798548105	4.60485144979637
MDK / SDC2	9.41517970013854	14.6819228154099	32.7100477714156	11.6554149671511	66.9867884673	22.2550539950027	80.0272898007005
