Endothelial	Epithelial	Fibroblasts	Immune	Muscle	Neural	Pericytes
WNT4 / FZD9 + LRP6	82.0864524544627	24.1199210008911	19.4729110991642	0	0	79.6549722453431	41.7691267918661
PROS1 / AXL	7.27434642668132	7.84401925547096	33.1251093976526	90.7816488988744	61.6006193031482	42.0312789220437	86.9895869036412
LAMA5 / ITGA6 + ITGB4	95.1854604247334	37.0396543645552	5.99880242572472	0	3.24443284996026	15.3820326891725	5.47184842362188
PTN / SDC3	49.5493428682714	13.6498472191196	31.9460359947466	19.1632604357631	71.2607852070572	100	7.9269850910098
FN1 / CD44	4.90308108845345	4.16992858229496	13.0698285849868	97.4770382724205	38.1941830766303	23.3997262388083	3.76479724949713
NRG2 / ERBB3	7.41846418317164	80.9496714773148	10.0598678978587	4.02173966614484	8.60196056339066	69.3755688215832	2.99803773338684
WNT5A / FZD7	10.682004258339	24.0751344845935	69.1690753994964	5.71297347474577	100	38.09747361819	48.4987734725277
WNT5B / FZD7	10.682004258339	24.0751344845935	69.1690753994964	5.71297347474577	100	38.09747361819	48.4987734725277
WNT11 / FZD7	10.682004258339	24.0751344845935	69.1690753994964	5.71297347474577	100	38.09747361819	48.4987734725277
EFNA4 / EPHA2	49.5777172762728	100	11.4116407966933	9.76760129708424	7.62615429753021	26.7799989902805	17.9613187449235
MDK / SDC4	7.67527882238961	100	14.7449514019374	31.7467618597488	21.1521351935402	7.46488155137203	9.35321997747492
PTN / SDC4	7.67527882238961	100	14.7449514019374	31.7467618597488	21.1521351935402	7.46488155137203	9.35321997747492
COL4A5 / SDC4	7.67527882238961	100	14.7449514019374	31.7467618597488	21.1521351935402	7.46488155137203	9.35321997747492
COL4A6 / SDC4	7.67527882238961	100	14.7449514019374	31.7467618597488	21.1521351935402	7.46488155137203	9.35321997747492
COL6A1 / SDC4	7.67527882238961	100	14.7449514019374	31.7467618597488	21.1521351935402	7.46488155137203	9.35321997747492
COL9A1 / SDC4	7.67527882238961	100	14.7449514019374	31.7467618597488	21.1521351935402	7.46488155137203	9.35321997747492
COL6A3 / CD44	4.81351432912766	4.09375464533607	12.8310762229143	95.6963819322067	37.4964729752563	22.9722730495767	3.69602402648228
LAMA5 / CD44	4.78781505035007	4.07189815241137	12.7625713048187	95.1854604247334	37.2962798842466	22.8496244380033	3.67629101119853
NECTIN3 / NECTIN1	47.216238307108	100	72.253505147936	21.4487269988493	0	42.2915355667955	61.0048963215833
FGF2 / FGFR2	5.52102409896607	17.720830990364	51.8142549873843	13.8829888316378	92.8054078081382	8.15709503522627	5.20875548663761
COL6A2 / CD44	4.75991592099028	4.04817075022491	12.6882023862092	94.6308041889277	37.0789503244815	22.7164771419373	3.65486885570441
COL4A5 / ITGA2 + ITGB1	100	33.2615276572167	13.9439573849779	0	25.6746289275458	34.820978738316	12.3270699580878
COL4A6 / ITGA2 + ITGB1	100	33.2615276572167	13.9439573849779	0	25.6746289275458	34.820978738316	12.3270699580878
COL6A1 / ITGA2 + ITGB1	100	33.2615276572167	13.9439573849779	0	25.6746289275458	34.820978738316	12.3270699580878
COL9A1 / ITGA2 + ITGB1	100	33.2615276572167	13.9439573849779	0	25.6746289275458	34.820978738316	12.3270699580878
LAMA4 / ITGA2 + ITGB1	100	33.2615276572167	13.9439573849779	0	25.6746289275458	34.820978738316	12.3270699580878
LAMB1 / ITGA2 + ITGB1	100	33.2615276572167	13.9439573849779	0	25.6746289275458	34.820978738316	12.3270699580878
EFNA4 / EPHA3	10.2707501528919	9.21568188718654	54.9927732270274	14.2634036216071	38.3847146183213	27.1767442810288	100
NECTIN3 / PVR	61.7308321707287	100	22.3954637861413	0	30.1055000728874	28.7252184735045	27.0668603585389
NRG1 / ERBB2 + ERBB3	12.1728578342028	100	27.7712606274914	10.0609754158257	28.4889725742325	54.1450067634498	12.3813151725729
MDK / SDC1	20.4144034661617	100	38.6415228093108	10.6864443655802	0	38.0559428799654	26.1141767147334
PTN / SDC1	20.4144034661617	100	38.6415228093108	10.6864443655802	0	38.0559428799654	26.1141767147334
COL4A5 / SDC1	20.4144034661617	100	38.6415228093108	10.6864443655802	0	38.0559428799654	26.1141767147334
COL4A6 / SDC1	20.4144034661617	100	38.6415228093108	10.6864443655802	0	38.0559428799654	26.1141767147334
COL6A1 / SDC1	20.4144034661617	100	38.6415228093108	10.6864443655802	0	38.0559428799654	26.1141767147334
COL9A1 / SDC1	20.4144034661617	100	38.6415228093108	10.6864443655802	0	38.0559428799654	26.1141767147334
FN1 / SDC4	7.48163447521571	97.4770382724205	14.3729419213163	30.9458032082816	20.6184749180413	7.27654544682177	9.11724181714691
LAMA4 / SV2A	25.0119673815265	15.5371237850308	24.0080328134504	0	49.7149072204856	100	33.4706311166962
LAMB1 / SV2A	25.0119673815265	15.5371237850308	24.0080328134504	0	49.7149072204856	100	33.4706311166962
EFNB1 / EPHB4	100	18.8461915791977	28.0621978137242	2.87889977941218	18.9127304257656	11.4529588537545	24.475253586973
EFNB1 / EPHB2	47.3116494062679	100	69.2243735601618	46.0557956394881	68.9112832459201	24.6725215899921	1.8304560631936
EFNB1 / EPHB3	26.0035345053548	30.0749863075048	100	5.59216210995993	18.9357688985558	42.9735111751564	64.5892316777369
JAM3 / ITGAM + ITGB2	1.72153565136271	1.69351976507083	1.48175332465428	85.674695276639	0	3.54208239873952	0
COL6A3 / SDC4	7.34496413623574	95.6963819322067	14.1103850093163	30.3805024804134	20.2418280816269	7.14362156018781	8.95069311260385
FGF2 / FGFR4	8.63740157179738	83.6632441147197	59.9824193483785	10.1130726266426	5.47218018734507	1.7644604141356	24.1881357582364
FN1 / SDC1	19.8993558797968	97.4770382724205	37.666611977878	10.4168294641976	0	37.0958060060343	25.4553260307482
EFNA4 / EPHA4	100	16.4896646461272	30.6235343196429	10.5097225133765	10.2935267474612	26.0152863388478	18.5160156326823
EFNB1 / EPHA4	100	16.4896646461272	30.6235343196429	10.5097225133765	10.2935267474612	26.0152863388478	18.5160156326823
CTF1 / LIFR + IL6ST	100	18.3559692139985	25.1400012504052	5.20184274863893	13.8817325238425	24.581344863822	28.4973670706579
COL6A2 / SDC4	7.26317807336975	94.6308041889277	13.9532660889199	30.0422160518241	20.0164356367763	7.06407744381425	8.85102728224395
COL6A3 / ITGA2 + ITGB1	95.6963819322067	31.8300785433366	13.3438627155926	0	24.569690958181	33.3224168059514	11.796559948142
