Endothelial	Fibroblasts	Immune	Muscle	Myofibroblast_Mesothelium	Neural	Pericytes
EREG / EGFR	9.90675966009475	30.9513193541141	9.78076701567049	17.1024083211118	100	9.47185373683079	71.9424191464772
KNG1 / BDKRB2	100	26.2010640998058	0	0	22.111816900916	10.8138060984828	0
IGF2 / ITGA6 + ITGB4	100	6.30222556991063	0	3.40853827410517	8.27855638778727	16.160065434926	5.74861790782498
LAMA3 / ITGA6 + ITGB4	100	6.30222556991063	0	3.40853827410517	8.27855638778727	16.160065434926	5.74861790782498
LAMB3 / ITGA6 + ITGB4	100	6.30222556991063	0	3.40853827410517	8.27855638778727	16.160065434926	5.74861790782498
LAMC2 / ITGA6 + ITGB4	100	6.30222556991063	0	3.40853827410517	8.27855638778727	16.160065434926	5.74861790782498
PLG / F2RL3	100	6.14324843355873	17.9576627259195	0	9.89981446566017	4.34376359290193	4.96719340098088
PRSS3 / F2RL3	100	6.14324843355873	17.9576627259195	0	9.89981446566017	4.34376359290193	4.96719340098088
F2 / F2RL3	100	6.14324843355873	17.9576627259195	0	9.89981446566017	4.34376359290193	4.96719340098088
ADM / CALCRL	100	8.58445579899483	5.75418190498197	2.18466929621321	10.4209526026507	4.84563648182389	6.05857448136908
OXT / OXTR	100	8.67361524701195	0	45.1282823169828	30.9908989406195	0	23.1056325676091
VTN / ITGA2B + ITGB3	40.119012829631	48.7925923375299	0	100	42.4796588543477	0	59.1362302820812
F11R / JAM2	100	21.0619297084266	6.25095273686088	13.4097748251592	10.4759572540703	10.5045634578297	4.52044275272467
WNT11 / FZD10	2.73809652405493	31.3781106200261	0	8.75590248200705	67.5166167570825	0	80.3271443984009
EDN1 / EDNRB	24.057019004641	16.6554026948239	7.96597477885387	1.9805179843288	42.0743846354498	100	14.4030654928
EDN3 / EDNRB	24.057019004641	16.6554026948239	7.96597477885387	1.9805179843288	42.0743846354498	100	14.4030654928
COL2A1 / CD44	5.02998570263362	13.4081100704561	100	39.1827488335135	23.902421451836	24.0053726021227	3.86224008876388
LAMA3 / CD44	5.02998570263362	13.4081100704561	100	39.1827488335135	23.902421451836	24.0053726021227	3.86224008876388
LAMB3 / CD44	5.02998570263362	13.4081100704561	100	39.1827488335135	23.902421451836	24.0053726021227	3.86224008876388
LAMC2 / CD44	5.02998570263362	13.4081100704561	100	39.1827488335135	23.902421451836	24.0053726021227	3.86224008876388
EDN1 / EDNRA	4.68514889814593	24.0273042313293	3.91714136897974	20.8426656820659	22.9796914350429	13.006647341097	100
EDN3 / EDNRA	4.68514889814593	24.0273042313293	3.91714136897974	20.8426656820659	22.9796914350429	13.006647341097	100
COL2A1 / ITGA2 + ITGB1	100	13.9439573849779	0	25.6746289275458	15.7785854879719	34.820978738316	12.3270699580878
LAMA3 / ITGA2 + ITGB1	100	13.9439573849779	0	25.6746289275458	15.7785854879719	34.820978738316	12.3270699580878
LAMB3 / ITGA2 + ITGB1	100	13.9439573849779	0	25.6746289275458	15.7785854879719	34.820978738316	12.3270699580878
LAMC2 / ITGA2 + ITGB1	100	13.9439573849779	0	25.6746289275458	15.7785854879719	34.820978738316	12.3270699580878
TNFSF15 / TNFRSF25	100	12.4221162109182	26.1074017231868	7.41992867062543	11.3889493283148	24.673407691005	6.75208877087145
