Endothelial	Epithelial	Fibroblasts	Immune	Muscle	Myofibroblast_Mesothelium	Neural
MIF / CD74 + CXCR2	32.4140816189497	7.22572122136382	10.0455598826423	100	8.68737422308896	8.45491316049332	5.81754249612442
CCL19 / CCR7	0	1.64321804729237	0.88893901553839	91.8447031900611	0	0	3.3520095064435
ANGPTL4 / SDC1	20.4144034661617	100	38.6415228093108	10.6864443655802	0	58.810315001277	38.0559428799654
COL4A2 / SDC1	20.4144034661617	100	38.6415228093108	10.6864443655802	0	58.810315001277	38.0559428799654
COL6A3 / SDC1	20.4144034661617	100	38.6415228093108	10.6864443655802	0	58.810315001277	38.0559428799654
THBS4 / SDC1	20.4144034661617	100	38.6415228093108	10.6864443655802	0	58.810315001277	38.0559428799654
PRL / PRLR	2.9565761909599	93.6858258355521	8.38359647482018	10.4233282285817	0	3.38682147957641	8.79792966036615
MIF / CD74 + CD44	12.768804450978	5.55973058352798	11.6056870811609	100	18.4498022267458	14.2159381576028	11.8174563780938
COL4A2 / CD44	5.02998570263362	4.27785728433931	13.4081100704561	100	39.1827488335135	23.902421451836	24.0053726021227
COL6A3 / CD44	5.02998570263362	4.27785728433931	13.4081100704561	100	39.1827488335135	23.902421451836	24.0053726021227
LAMC3 / CD44	5.02998570263362	4.27785728433931	13.4081100704561	100	39.1827488335135	23.902421451836	24.0053726021227
COL4A1 / SDC1	20.1456361081904	98.6834425095162	38.1327849463278	10.5457511818188	0	58.0360433939506	37.554914513405
WNT6 / FZD9 + LRP5	82.3147439713433	60.3187816304678	27.6086931151338	0	0	0	44.6455137353803
COL4A1 / CD44	4.96376304909533	4.22153683383013	13.2315845929912	98.6834425095162	38.6668854187684	23.5877323318049	23.689328071011
GAS6 / TYRO3	37.0333838888671	66.652275999873	89.8163754198935	3.73235750095116	61.1775645427166	74.8163868796829	100
MDK / PTPRZ1	0.799163644354853	0.555437622860349	7.56426624994258	0	4.88341609120285	0.644426339233295	88.5717938001316
COL9A1 / ITGA11 + ITGB1	30.1461144975571	20.4808658888522	44.2843369812892	0	0	89.1500731966445	0
LAMB2 / SV2B	60.089782620278	1.38629117313187	0	0	0	0	73.174172432252
GAS6 / AXL	8.01301421037696	8.64053401828904	36.4887725652043	100	67.8558057166023	47.766262517188	46.2993120656622
MIF / ACKR3	24.3865421419616	32.5693297984521	15.7872151697498	8.46743476244807	10.2516466167048	100	12.0151018715794
ANGPTL4 / SDC4	7.67527882238961	100	14.7449514019374	31.7467618597488	21.1521351935402	20.217005205155	7.46488155137203
COL4A2 / SDC4	7.67527882238961	100	14.7449514019374	31.7467618597488	21.1521351935402	20.217005205155	7.46488155137203
COL6A3 / SDC4	7.67527882238961	100	14.7449514019374	31.7467618597488	21.1521351935402	20.217005205155	7.46488155137203
THBS4 / SDC4	7.67527882238961	100	14.7449514019374	31.7467618597488	21.1521351935402	20.217005205155	7.46488155137203
COL4A2 / ITGA2 + ITGB1	100	33.2615276572167	13.9439573849779	0	25.6746289275458	15.7785854879719	34.820978738316
COL6A3 / ITGA2 + ITGB1	100	33.2615276572167	13.9439573849779	0	25.6746289275458	15.7785854879719	34.820978738316
LAMC3 / ITGA2 + ITGB1	100	33.2615276572167	13.9439573849779	0	25.6746289275458	15.7785854879719	34.820978738316
CSPG4 / ITGA2 + ITGB1	100	33.2615276572167	13.9439573849779	0	25.6746289275458	15.7785854879719	34.820978738316
LAMC3 / SV2A	25.0119673815265	15.5371237850308	24.0080328134504	0	49.7149072204856	38.1101645633367	100
HLA-E / CD8B	4.57677192725513	77.1753945020557	17.3624151940167	69.026447597393	0	5.92192900644824	16.4384355568144
COL4A1 / SDC4	7.57422936413793	98.6834425095162	14.550825639787	31.3287974884982	20.8736551732524	19.950836708775	7.3666020941517
CD99 / CD99L2	91.1124185607359	21.1672235390902	70.0550228495784	36.8020000695002	43.3789145560644	100	96.9518247163657
COL4A1 / ITGA2 + ITGB1	98.6834425095162	32.8236205233962	13.7603771695561	0	25.3366076772463	15.5708513388377	34.3625405344769
LRRC4B / PTPRF	17.3253539721054	100	18.4099224322845	5.83854532455085	36.558270996183	17.1364299880079	42.4748842097488
WNT11 / FZD2	15.5309239560963	8.89303752153396	77.629166405351	35.799669061025	78.2966614359811	78.5495842073195	26.3295417316016
ANGPTL4 / SDC3	49.5493428682714	13.6498472191196	31.9460359947466	19.1632604357631	71.2607852070572	26.5670659336912	100
LAMA4 / SV2B	57.6691111432368	1.33044548098017	0	0	0	0	70.2264062008084
ANGPTL4 / ITGA5 + ITGB1	100	11.5255592101039	35.743094878711	24.8955962654166	54.8152197978518	51.2035796054575	10.3514307782381
ANGPT2 / ITGA5 + ITGB1	100	11.5255592101039	35.743094878711	24.8955962654166	54.8152197978518	51.2035796054575	10.3514307782381
COL4A2 / ITGA9 + ITGB1	67.9867721741646	16.5518608119129	32.2289950625577	28.9122117309265	95.3329730211357	60.6225570279923	8.65702769057072
COL6A3 / ITGA9 + ITGB1	67.9867721741646	16.5518608119129	32.2289950625577	28.9122117309265	95.3329730211357	60.6225570279923	8.65702769057072
LAMC3 / ITGA9 + ITGB1	67.9867721741646	16.5518608119129	32.2289950625577	28.9122117309265	95.3329730211357	60.6225570279923	8.65702769057072
SEMA4A / NRP1 + PLXNA2	100	16.27773248858	17.9603884230243	8.46653804406669	19.5351780619335	26.9513267229139	25.7569340212794
JAG1 / NOTCH1	100	15.5628062844858	18.2872195119884	13.0132098434516	27.1589694191871	15.7789195259097	42.4800180060962
SEMA4A / PLXNB1	39.24121418172	100	31.9568853547718	7.04248518030529	21.2414993096415	16.3134387222654	52.697248801142
COL4A1 / ITGA9 + ITGB1	67.0916872325675	16.3339460485793	31.804681813954	28.5315658417185	94.0778596239251	59.8244262125175	8.54305294405726
LAMC1 / SV2B	56.5389594318238	1.30437250694843	0	0	0	0	68.8501669701204
COL9A1 / SDC1	18.5854799130947	91.0410139777116	35.1796341820252	9.72904730858826	0	53.5415071006488	34.6465162766992
WNT6 / FZD8 + LRP6	61.405112644504	17.487886446754	38.4902766535904	2.60234585701149	0	50.5912087159944	80.5677493307951
WNT11 / FZD9	78.5495842073195	28.5791305233967	11.5327258825341	0	0	0	49.8390403928521
COL9A1 / CD44	4.57934998661157	3.8946046481819	12.2068793633909	91.0410139777116	35.6723718423706	21.7610068549776	21.8547346261003
NECTIN3 / NECTIN1	43.8724426723756	92.9181236061555	67.1366012231392	19.9297546647377	0	45.7365278159996	39.2965012928962
WNT6 / FZD3 + LRP6	38.3235691948237	18.7933310090191	28.6190156405644	3.96758170599669	38.665158102339	37.9705739597989	100
