Endothelial	Epithelial	Immune	Muscle	Myofibroblast_Mesothelium	Neural	Pericytes
WNT9A / FZD9 + LRP5	82.3147439713433	60.3187816304678	0	0	0	44.6455137353803	55.0508613595096
COL1A1 / CD44	5.02998570263362	4.27785728433931	100	39.1827488335135	23.902421451836	24.0053726021227	3.86224008876388
COL1A2 / CD44	5.02998570263362	4.27785728433931	100	39.1827488335135	23.902421451836	24.0053726021227	3.86224008876388
COL6A2 / CD44	5.02998570263362	4.27785728433931	100	39.1827488335135	23.902421451836	24.0053726021227	3.86224008876388
COL6A6 / CD44	5.02998570263362	4.27785728433931	100	39.1827488335135	23.902421451836	24.0053726021227	3.86224008876388
EFNA5 / EPHA3	10.2707501528919	9.21568188718654	14.2634036216071	38.3847146183213	67.6938356553564	27.1767442810288	100
EFNA5 / EPHB2	47.3116494062679	100	46.0557956394881	68.9112832459201	83.7923151799601	24.6725215899921	1.8304560631936
EFNA5 / EPHA7	36.9577742934333	5.91470280561345	8.69883310444701	56.3764844701542	100	39.9006968995959	8.96699313716274
COL1A1 / SDC1	20.4144034661617	100	10.6864443655802	0	58.810315001277	38.0559428799654	26.1141767147334
COL1A2 / SDC1	20.4144034661617	100	10.6864443655802	0	58.810315001277	38.0559428799654	26.1141767147334
COL6A2 / SDC1	20.4144034661617	100	10.6864443655802	0	58.810315001277	38.0559428799654	26.1141767147334
COL6A6 / SDC1	20.4144034661617	100	10.6864443655802	0	58.810315001277	38.0559428799654	26.1141767147334
THBS1 / SDC1	20.4144034661617	100	10.6864443655802	0	58.810315001277	38.0559428799654	26.1141767147334
THBS2 / SDC1	20.4144034661617	100	10.6864443655802	0	58.810315001277	38.0559428799654	26.1141767147334
EFNA5 / EPHA2	49.5777172762728	100	9.76760129708424	7.62615429753021	8.19481237683819	26.7799989902805	17.9613187449235
WNT11 / FZD9	86.0365346929102	31.3031492092902	0	0	0	54.5894465399525	49.0303681803172
CXCL12 / ACKR3	24.3865421419616	32.5693297984521	8.46743476244807	10.2516466167048	100	12.0151018715794	58.2712960682067
MDK / SDC1	20.0643862901455	98.2854400982309	10.5032188755631	0	57.801976922161	37.4034509431053	25.6664335121054
PYY / GPR83	0	0.565925360847297	0	5.16791089005935	2.7467565178321	89.0764102269082	0
COL6A1 / ITGA11 + ITGB1	30.6609245006742	20.8306209006609	0	0	90.6725032087765	0	43.9131945787751
PYY / NPY1R	0.829471879229215	5.31959018651593	0	0	4.43381918072091	1.68649260406617	89.0764102269082
PTN / PTPRZ1	0.79530638533142	0.552756736664053	0	4.85984569868558	0.641315938341682	88.1442914315359	0
COL1A1 / SDC4	7.67527882238961	100	31.7467618597488	21.1521351935402	20.217005205155	7.46488155137203	9.35321997747492
COL1A2 / SDC4	7.67527882238961	100	31.7467618597488	21.1521351935402	20.217005205155	7.46488155137203	9.35321997747492
COL6A2 / SDC4	7.67527882238961	100	31.7467618597488	21.1521351935402	20.217005205155	7.46488155137203	9.35321997747492
COL6A6 / SDC4	7.67527882238961	100	31.7467618597488	21.1521351935402	20.217005205155	7.46488155137203	9.35321997747492
THBS1 / SDC4	7.67527882238961	100	31.7467618597488	21.1521351935402	20.217005205155	7.46488155137203	9.35321997747492
THBS2 / SDC4	7.67527882238961	100	31.7467618597488	21.1521351935402	20.217005205155	7.46488155137203	9.35321997747492
EFNA5 / EPHA4	100	16.4896646461272	10.5097225133765	10.2935267474612	50.8602818475165	26.0152863388478	18.5160156326823
COL1A1 / ITGA2 + ITGB1	100	33.2615276572167	0	25.6746289275458	15.7785854879719	34.820978738316	12.3270699580878
COL1A2 / ITGA2 + ITGB1	100	33.2615276572167	0	25.6746289275458	15.7785854879719	34.820978738316	12.3270699580878
COL6A2 / ITGA2 + ITGB1	100	33.2615276572167	0	25.6746289275458	15.7785854879719	34.820978738316	12.3270699580878
COL6A6 / ITGA2 + ITGB1	100	33.2615276572167	0	25.6746289275458	15.7785854879719	34.820978738316	12.3270699580878
MDK / SDC4	7.54368156935194	98.2854400982309	31.2024446107914	20.7894691651437	19.8703725405688	7.33689168557764	9.19285341821687
PTN / SDC2	10.370141803328	16.1710797234255	12.8375994761109	15.8132587020277	73.781119158588	24.5123378543167	88.1442914315359
CCL2 / ACKR2	0	85.8480664701042	0	0	0	18.5300255176633	0
